N,GPU,CPU,Speedup
1257, 0.000064, 0.000025, 0.390625
1265, 0.000065, 0.000024, 0.369231
1273, 0.000092, 0.000025, 0.271739
1281, 0.000061, 0.000024, 0.393443
1289, 0.000061, 0.000024, 0.393443
1297, 0.000064, 0.000025, 0.390625
1305, 0.000063, 0.000026, 0.412698
1313, 0.000060, 0.000026, 0.433333
1321, 0.000090, 0.000024, 0.266667
1329, 0.000092, 0.000025, 0.271739
1337, 0.000091, 0.000025, 0.274725
1345, 0.000093, 0.000026, 0.279570
1353, 0.000093, 0.000025, 0.268817
1361, 0.000069, 0.000026, 0.376812
1369, 0.000103, 0.000027, 0.262136
1377, 0.000066, 0.000026, 0.393939
1385, 0.000094, 0.000026, 0.276596
1393, 0.000094, 0.000027, 0.287234
1401, 0.000093, 0.000026, 0.279570
1409, 0.000094, 0.000026, 0.276596
1417, 0.000094, 0.000027, 0.287234
1425, 0.000066, 0.000026, 0.393939
1433, 0.000068, 0.000027, 0.397059
1441, 0.000065, 0.000027, 0.415385
1449, 0.000066, 0.000027, 0.409091
1457, 0.000095, 0.000028, 0.294737
1465, 0.000094, 0.000027, 0.287234
