N,GPU,CPU,Speedup
2529, 0.000091, 0.000045, 0.494505
2537, 0.000091, 0.000046, 0.505495
2545, 0.000061, 0.000047, 0.770492
2553, 0.000065, 0.000045, 0.692308
2561, 0.000096, 0.000045, 0.468750
2569, 0.000097, 0.000046, 0.474227
2577, 0.000066, 0.000047, 0.712121
2585, 0.000096, 0.000046, 0.479167
2593, 0.000065, 0.000046, 0.707692
2601, 0.000066, 0.000046, 0.696970
2609, 0.000102, 0.000048, 0.470588
2617, 0.000096, 0.000047, 0.489583
2625, 0.000098, 0.000046, 0.469388
2633, 0.000097, 0.000046, 0.474227
2641, 0.000067, 0.000049, 0.731343
2649, 0.000098, 0.000048, 0.489796
2657, 0.000102, 0.000048, 0.470588
2665, 0.000104, 0.000048, 0.461538
2673, 0.000104, 0.000048, 0.461538
2681, 0.000099, 0.000050, 0.505051
2689, 0.000101, 0.000050, 0.495050
2697, 0.000098, 0.000047, 0.479592
2705, 0.000102, 0.000050, 0.490196
2713, 0.000102, 0.000049, 0.480392
2721, 0.000099, 0.000050, 0.505051
2729, 0.000069, 0.000049, 0.710145
2737, 0.000096, 0.000049, 0.510417
2745, 0.000099, 0.000050, 0.505051
2753, 0.000093, 0.000048, 0.516129
2761, 0.000066, 0.000050, 0.757576
2769, 0.000066, 0.000050, 0.757576
2777, 0.000092, 0.000052, 0.565217
2785, 0.000092, 0.000051, 0.554348
2793, 0.000095, 0.000052, 0.547368
2801, 0.000093, 0.000049, 0.526882
2809, 0.000094, 0.000051, 0.542553
2817, 0.000091, 0.000052, 0.571429
2825, 0.000065, 0.000050, 0.769231
2833, 0.000064, 0.000051, 0.796875
2841, 0.000063, 0.000050, 0.793651
2849, 0.000061, 0.000055, 0.901639
2857, 0.000064, 0.000054, 0.843750
2865, 0.000066, 0.000050, 0.757576
2873, 0.000063, 0.000054, 0.857143
2881, 0.000064, 0.000052, 0.812500
2889, 0.000098, 0.000053, 0.540816
2897, 0.000093, 0.000052, 0.559140
2905, 0.000092, 0.000056, 0.608696
2913, 0.000094, 0.000052, 0.553191
2921, 0.000092, 0.000054, 0.586957
2929, 0.000090, 0.000052, 0.577778
2937, 0.000095, 0.000052, 0.547368
2945, 0.000097, 0.000054, 0.556701
2953, 0.000093, 0.000052, 0.559140
2961, 0.000092, 0.000055, 0.597826
2969, 0.000095, 0.000052, 0.547368
2977, 0.000100, 0.000056, 0.560000
2985, 0.000096, 0.000055, 0.572917
2993, 0.000093, 0.000055, 0.591398
3001, 0.000095, 0.000053, 0.557895
3009, 0.000095, 0.000054, 0.568421
3017, 0.000064, 0.000053, 0.828125
3025, 0.000066, 0.000053, 0.803030
3033, 0.000068, 0.000055, 0.808824
3041, 0.000064, 0.000056, 0.875000
3049, 0.000096, 0.000055, 0.572917
3057, 0.000091, 0.000056, 0.615385
3065, 0.000065, 0.000055, 0.846154
3073, 0.000066, 0.000054, 0.818182
3081, 0.000067, 0.000055, 0.820896
3089, 0.000092, 0.000054, 0.586957
3097, 0.000095, 0.000056, 0.589474
3105, 0.000092, 0.000057, 0.619565
3113, 0.000095, 0.000056, 0.589474
3121, 0.000095, 0.000056, 0.589474
3129, 0.000090, 0.000055, 0.611111
3137, 0.000095, 0.000058, 0.610526
3145, 0.000097, 0.000056, 0.577320
3153, 0.000095, 0.000058, 0.610526
3161, 0.000092, 0.000058, 0.630435
3169, 0.000066, 0.000057, 0.863636
3177, 0.000132, 0.000059, 0.446970
3185, 0.000065, 0.000056, 0.861538
3193, 0.000065, 0.000058, 0.892308
3201, 0.000091, 0.000059, 0.648352
3209, 0.000091, 0.000058, 0.637363
3217, 0.000093, 0.000057, 0.612903
3225, 0.000066, 0.000059, 0.893939
3233, 0.000066, 0.000058, 0.878788
3241, 0.000094, 0.000057, 0.606383
3249, 0.000097, 0.000059, 0.608247
3257, 0.000098, 0.000058, 0.591837
3265, 0.000069, 0.000060, 0.869565
3273, 0.000067, 0.000059, 0.880597
3281, 0.000068, 0.000063, 0.926471
3289, 0.000092, 0.000059, 0.641304
3297, 0.000071, 0.000061, 0.859155
3305, 0.000071, 0.000059, 0.830986
3313, 0.000092, 0.000061, 0.663043
3321, 0.000071, 0.000059, 0.830986
3329, 0.000094, 0.000062, 0.659574
3337, 0.000097, 0.000061, 0.628866
3345, 0.000095, 0.000060, 0.631579
3353, 0.000093, 0.000058, 0.623656
3361, 0.000095, 0.000061, 0.642105
3369, 0.000095, 0.000059, 0.621053
3377, 0.000095, 0.000062, 0.652632
3385, 0.000065, 0.000061, 0.938462
3393, 0.000066, 0.000064, 0.969697
