N,GPU,CPU,Speedup
1, 0.000046, 0.000003, 0.065217
2, 0.000051, 0.000002, 0.039216
4, 0.000046, 0.000003, 0.065217
8, 0.000046, 0.000009, 0.195652
16, 0.000045, 0.000053, 1.177778
32, 0.000048, 0.000377, 7.854167
64, 0.000050, 0.003051, 61.020000
128, 0.000045, 0.027466, 610.355556
256, 0.000057, 0.255907, 4489.596491
512, 0.000066, 2.294063, 34758.530303
1024, 0.000076, 76.243937, 1003209.697368
2048, 0.000071, 746.264338, 10510765.323944
